,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,10,10,10,10,10,10,10,10,10,10,10,10
2,20,20,20,20,20,20,20,20,20,20,20,20
3,30,30,30,30,30,30,30,30,30,30,30,30
4,40,40,40,40,40,40,40,40,40,40,40,40
5,50,50,50,50,50,50,50,50,50,50,50,50
6,60,60,60,60,60,60,60,60,60,60,60,60
7,70,70,70,70,70,70,70,70,70,70,70,70
8,80,80,80,80,80,80,80,80,80,80,80,80
9,90,90,90,90,90,90,90,90,90,90,90,90
10,100,100,100,100,100,100,100,100,100,100,100,100
11,110,110,110,110,110,110,110,110,110,110,110,110
12,120,120,120,120,120,120,120,120,120,120,120,120
13,130,130,130,130,130,130,130,130,130,130,130,130
14,140,140,140,140,140,140,140,140,140,140,140,140
15,150,150,150,150,150,150,150,150,150,150,150,150
16,160,160,160,160,160,160,160,160,160,160,160,160
17,170,170,170,170,170,170,170,170,170,170,170,170
18,180,180,180,180,180,180,180,180,180,180,180,180
19,190,190,190,190,190,190,190,190,190,190,190,190
20,200,200,200,200,200,200,200,200,200,200,200,200
21,210,210,210,210,210,210,210,210,210,210,210,210
22,220,220,220,220,220,220,220,220,220,220,220,220
23,230,230,230,230,230,230,230,230,230,230,230,230
24,240,240,240,240,240,240,240,240,240,240,240,240
25,250,250,250,250,250,250,250,250,250,250,250,250
26,260,260,260,260,260,260,260,260,260,260,260,260
27,270,270,270,270,270,270,270,270,270,270,270,270
28,280,280,280,280,280,280,280,280,280,280,280,280
29,290,290,290,290,290,290,290,290,290,290,290,290
30,300,300,300,300,300,300,300,300,300,300,300,300
31,310,310,310,310,310,310,310,310,310,310,310,310